Name;WHO Region;Cases - cumulative total;Cases - cumulative total per 100000 population;Cases - newly reported in last 7 days;Cases - newly reported in last 7 days per 100000 population;Cases - newly reported in last 24 hours;Deaths - cumulative total;Deaths - cumulative total per 100000 population;Deaths - newly reported in last 7 days;Deaths - newly reported in last 7 days per 100000 population;Deaths - newly reported in last 24 hours;
Global;;208470375;26.745.691.907.193.500;4478116;57.451.957.315.601.300;542708;4377979;5.616.725.038.757.340;64722;0.8303504378583212;6739;
United States of America;Americas;36777391;11110.91;953025;287.92;113803;617628;186.59;4655;Jan.41;531;
India;South-East Asia;32285857;2339.55;249346;18.Jul;35178;432519;31.34;3340;0.24;440;
Brazil;Americas;20378570;9587.23;200813;94.47;14471;569492;267.92;5930;Feb.79;434;
Russian Federation;Europe;6663473;4566.07;150614;103.21;20914;172909;118.48;5668;Mar.88;799;
France;Europe;6334234;9739.08;148391;228.16;17104;111634;171.64;408;0.63;125;
The United Kingdom;Europe;6322245;9313.03;204701;301.54;26628;131149;193.19;646;0.95;170;
Turkey;Europe;6118508;7254.65;149640;177.43;21692;53507;63.44;1070;Jan.27;183;
Argentina;Americas;5088271;11258.29;59196;130.98;3636;109105;241.41;1144;Feb.53;64;
Colombia;Americas;4870922;9572.81;27915;54.86;3161;123580;242.87;979;Jan.92;121;
Spain;Europe;4733602;10000.72;77163;163.02;5558;82739;174.8;303;0.64;8;
Iran (Islamic Republic of);Eastern Mediterranean;4517243;5378.12;278567;331.66;50228;99108;118;3997;Apr.76;625;
Italy;Europe;4449606;7460.59;43365;72.71;5268;128510;215.47;237;0.4;54;
Indonesia;South-East Asia;3892479;1423.09;143033;52.29;0;120013;43.88;7815;Feb.86;0;
Germany;Europe;3835375;4611.67;35950;43.23;8324;91921;110.53;104;0.13;22;
Mexico;Americas;3108438;2410.9;130108;100.91;7172;248652;192.85;3962;03.Jul;272;
Poland;Europe;2885883;7602.8;1326;Mar.49;207;75307;198.39;18;0.05;1;
South Africa;Africa;2624254;4424.74;77492;130.66;10685;77993;131.5;2792;Apr.71;553;
Ukraine;Europe;2268666;5187.45;7312;16.72;1447;53336;121.96;187;0.43;40;
Peru;Americas;2134365;6473.29;8517;25.83;553;197487;598.96;458;Jan.39;94;
Netherlands;Europe;1906434;10951.74;16564;95.15;2358;17920;102.94;42;0.24;5;
Iraq;Eastern Mediterranean;1793372;4458.63;61074;151.84;8778;19815;49.26;479;Jan.19;75;
Philippines;Western Pacific;1765675;1611.3;89656;81.82;10035;30462;27.Aug;1242;Jan.13;96;
Czechia;Europe;1676817;15680.07;1367;Dec.78;299;30378;284.07;7;0.07;2;
Chile;Americas;1630330;8528.53;5507;28.81;398;36438;190.61;300;Jan.57;18;
